OID_,OID1,station_id,carrier_id,carrier_icon,open_time,is_public,auth,is_auth,elect_index,is_online,hasFast,hasSlow,is_network,is_ground,rate
266,,676,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.8
267,,678,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
268,,680,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
269,,682,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.8
270,,684,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
271,,686,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
272,,688,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
273,,690,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
274,,692,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
275,,694,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
276,,696,40,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
277,,698,40,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
278,,700,40,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.833333333
279,,702,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.333333333
280,,704,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
281,,706,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
282,,708,40,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.333333333
283,,710,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
285,,714,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
286,,716,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
287,,718,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
288,,720,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
290,,724,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.6
291,,726,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
292,,728,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
293,,730,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
294,,732,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
295,,734,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
296,,736,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.833333333
297,,738,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
298,,740,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
299,,742,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.7
300,,744,40,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.5
301,,746,40,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.4
302,,748,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
303,,750,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
304,,752,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.5
305,,754,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
306,,756,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
307,,758,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
308,,760,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.833333333
309,,762,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
310,,764,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
311,,766,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
312,,768,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
313,,770,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.5
314,,772,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
315,,774,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
316,,776,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
317,,778,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
318,,780,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
319,,782,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
320,,784,40,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.5
321,,786,40,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.75
322,,788,40,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.4
324,,792,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
325,,794,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.166666667
326,,796,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
327,,798,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.333333333
335,,814,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
336,,816,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.833333333
337,,818,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.5
338,,820,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
339,,822,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
340,,824,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
341,,826,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
342,,828,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
343,,830,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
344,,832,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.5
348,,840,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
349,,842,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
350,,844,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
351,,846,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.833333333
352,,848,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
353,,850,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.5
354,,852,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
355,,854,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
356,,856,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
357,,858,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
358,,860,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
359,,862,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
362,,868,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
363,,870,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.5
364,,872,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
365,,874,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
366,,876,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
367,,878,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
368,,880,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
369,,882,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
370,,884,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
371,,886,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.333333333
372,,888,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.5
373,,890,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
375,,894,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
376,,896,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
378,,900,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
379,,902,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.666666667
382,,908,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.5
383,,910,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
384,,912,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
385,,914,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
386,,916,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
387,,918,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.333333333
388,,920,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
389,,922,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
390,,924,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.5
391,,926,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.833333333
392,,928,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
393,,930,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.833333333
394,,932,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
395,,934,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
396,,936,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.5
397,,938,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
398,,940,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
399,,942,40,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.333333333
400,,944,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
401,,946,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
402,,948,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
403,,950,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.333333333
404,,952,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.5
405,,954,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
406,,956,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
407,,958,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
408,,960,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
409,,962,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.166666667
410,,964,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.666666667
411,,966,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
412,,968,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
413,,970,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
414,,972,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
415,,974,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
416,,976,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
417,,978,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
418,,980,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
419,,982,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,0.833333333
