Community,number_of_members,average_occupied_rate,community_center_x,community_center_y,spatial_dispersion,community_modularity,community_contribution,average_edge_weight
224,1,0.0,414340.9663000004,3361054.6129,0.0,0.0,0.0,0.0
232,1,0.0,395414.21860000025,3410563.626599999,0.0,0.0,0.0,0.0
77,1,0.0,408820.9298,3397097.4783999994,0.0,0.0,0.0,0.0
99,1,0.0,408423.74239999993,3398332.7003000006,0.0,0.0,0.0,0.0
141,1,0.0,401658.6722999997,3391398.2272999994,0.0,0.0,0.0,0.0
110,1,0.0,410104.84420000017,3386155.1257000007,0.0,0.0,0.0,0.0
234,1,0.0,394878.66980000027,3409027.5101999994,0.0,0.0,0.0,0.0
131,1,0.0,402858.5954,3391242.0590000004,0.0,0.0,0.0,0.0
28,1,0.0,396369.5056999996,3391164.7262999993,0.0,0.0,0.0,0.0
249,1,0.0,396013.77080000006,3404158.3116999995,0.0,0.0,0.0,0.0
0,1,0.0,396068.4638999999,3401531.5004,0.0,0.0,0.0,0.0
43,1,0.0,412973.0690000001,3393464.8072,0.0,0.0,0.0,0.0
53,1,0.0,412087.67360000033,3396835.2924000006,0.0,0.0,0.0,0.0
92,1,0.0,409962.3548999997,3398856.3193,0.0,0.0,0.0,0.0
83,1,0.0,404911.0645000003,3398545.3464,0.0,0.0,0.0,0.0
86,1,0.0,407126.1184,3398918.0106000006,0.0,0.0,0.0,0.0
108,1,0.0,409734.00960000046,3385491.704399999,0.0,0.0,0.0,0.0
177,1,0.0,428619.39709999965,3383917.3452000003,0.0,0.0,0.0,0.0
173,1,0.0,428872.6840000004,3384648.4333,0.0,0.0,0.0,0.0
172,1,0.0,428832.2065000003,3384515.7061,0.0,0.0,0.0,0.0
178,1,0.0,428333.3761999998,3384078.3441000003,0.0,0.0,0.0,0.0
176,1,0.0,428424.3855999997,3384392.7425,0.0,0.0,0.0,0.0
179,1,0.0,428256.2692,3384249.4223,0.0,0.0,0.0,0.0
175,1,0.0,429126.00430000015,3384234.3652,0.0,0.0,0.0,0.0
152,1,0.0,407410.8136999998,3391296.8407000005,0.0,0.0,0.0,0.0
151,1,0.0,407410.8136999998,3391296.8407000005,0.0,0.0,0.0,0.0
252,1,0.0,392081.7039999999,3407836.775800001,0.0,0.0,0.0,0.0
147,1,0.0,403175.56759999966,3387371.8467999995,0.0,0.0,0.0,0.0
