OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,NEAR_ANGLE,station_id,rate,station_id_1,rate_1,value_,wgs_X,wgs_Y,wgs_X_1,wgs_Y_1,ORIG_FID,Shape_Length
808,60,713,2834.344969671364652,42,-23.214118911423032,168.000000000000000,1.000000000000000,1943.000000000000000,0.486486486000000,0.000181175375438,103.978029100000001,30.633725829999999,104.005299600000001,30.623860680000000,808,0.029000023425668
809,60,69,2860.577093596741634,44,-55.106180388750381,168.000000000000000,1.000000000000000,188.000000000000000,0.388888889000000,0.000213632106741,103.978029100000001,30.633725829999999,103.995314600000000,30.612698309999999,809,0.027220306969657
810,60,372,2872.938693521260575,45,52.671885784930879,168.000000000000000,1.000000000000000,918.000000000000000,0.333333333000000,0.000232050432717,103.978029100000001,30.633725829999999,103.995985300000001,30.654470570000001,810,0.027436642656008
811,60,52,2918.698460893303945,47,-9.265140424761098,168.000000000000000,1.000000000000000,150.000000000000000,0.181818182000000,0.000280324202367,103.978029100000001,30.633725829999999,104.008115700000005,30.629720400000000,811,0.030352050555357
812,60,935,2986.169364576149746,49,48.983062835404567,168.000000000000000,1.000000000000000,2691.000000000000000,0.117647059000000,0.000295479871794,103.978029100000001,30.633725829999999,103.998259000000004,30.654205080000001,812,0.028786256090395
813,60,804,3022.874509902534555,50,-38.849644019530118,168.000000000000000,1.000000000000000,2327.000000000000000,0.047619048000000,0.000315058051163,103.978029100000001,30.633725829999999,104.002757500000001,30.616815249999998,813,0.029957661599404
814,60,53,3269.091277864722088,56,43.955346027849103,168.000000000000000,1.000000000000000,152.000000000000000,0.000000000000000,0.000305895404870,103.978029100000001,30.633725829999999,104.002363299999999,30.654380570000001,814,0.031918201425890
815,60,983,3551.638932481159372,61,-58.003210792590579,168.000000000000000,1.000000000000000,2809.000000000000000,0.200000000000000,0.000225248122123,103.978029100000001,30.633725829999999,103.997936300000006,30.606713520000000,815,0.033555349982463
816,60,434,3627.556147907692775,63,35.482427067524775,168.000000000000000,1.000000000000000,1048.000000000000000,0.333333333000000,0.000183778455748,103.978029100000001,30.633725829999999,104.008643000000006,30.652954470000001,816,0.036151783937299
817,60,819,3698.650822582757428,65,-64.915072244261538,168.000000000000000,1.000000000000000,2389.000000000000000,0.315789474000000,0.000184989218723,103.978029100000001,30.633725829999999,103.994695600000000,30.603642369999999,817,0.034391667534652
818,60,233,3777.930067959261123,66,-74.108011707562724,168.000000000000000,1.000000000000000,634.000000000000000,0.000000000000000,0.000264695211931,103.978029100000001,30.633725829999999,103.989158799999998,30.601040269999999,818,0.034528481850901
819,60,1123,4248.370400288686142,73,16.046091394911066,168.000000000000000,1.000000000000000,602.000000000000000,0.100000000000000,0.000211845935076,103.978029100000001,30.633725829999999,104.020504500000001,30.644644280000001,819,0.043856267232979
820,60,175,4386.079469702665847,81,-112.020449006174800,168.000000000000000,1.000000000000000,434.000000000000000,0.000000000000000,0.000227994045003,103.978029100000001,30.633725829999999,103.961269500000000,30.596918960000000,820,0.040442921307672
821,60,28,4530.901773014563332,86,55.284345108562917,168.000000000000000,1.000000000000000,96.000000000000000,0.000000000000000,0.000220706616496,103.978029100000001,30.633725829999999,104.004596899999996,30.667523500000001,821,0.042989888580672
822,60,666,4696.112957187930988,92,169.508934119406035,168.000000000000000,1.000000000000000,1781.000000000000000,0.000000000000000,0.000212942067007,103.978029100000001,30.633725829999999,103.929785699999996,30.641049939999998,822,0.048796191030861
823,60,700,4965.847242728234050,94,-10.154319315108289,168.000000000000000,1.000000000000000,1907.000000000000000,0.000000000000000,0.000201375505754,103.978029100000001,30.633725829999999,104.029088099999996,30.626220750000002,823,0.051607632594952
824,60,181,5165.070209175463788,96,50.170811088405614,168.000000000000000,1.000000000000000,454.000000000000000,0.000000000000000,0.000193608210441,103.978029100000001,30.633725829999999,104.012168599999995,30.669765829999999,824,0.049642593703836
825,60,183,5177.233146481347831,97,-33.790144077223474,168.000000000000000,1.000000000000000,458.000000000000000,0.000000000000000,0.000193153364298,103.978029100000001,30.633725829999999,104.023164899999998,30.608102610000000,825,0.051901733085451
826,60,263,5188.376775765531420,98,-178.823118905285980,168.000000000000000,1.000000000000000,696.000000000000000,0.000000000000000,0.000192738508250,103.978029100000001,30.633725829999999,103.923940000000002,30.632328290000000,826,0.054107152004078
827,60,803,5383.159421131227646,105,173.772816926733498,168.000000000000000,1.000000000000000,2325.000000000000000,0.000000000000000,0.000185764515179,103.978029100000001,30.633725829999999,103.922159399999998,30.638541230000001,827,0.056076835711990
828,60,538,5388.771998933584655,106,173.977912536764194,168.000000000000000,1.000000000000000,1406.000000000000000,0.000000000000000,0.000185571035516,103.978029100000001,30.633725829999999,103.922081599999999,30.638373090000002,828,0.056140180175520
829,61,47,347.114882584675343,1,-155.928219961472479,170.000000000000000,1.000000000000000,140.000000000000000,0.000000000000000,0.002880890593206,104.063324899999998,30.603474490000000,104.060032800000002,30.602173740000001,829,0.003539756061161
830,61,563,916.180293521061571,2,75.317321923277362,170.000000000000000,1.000000000000000,1487.000000000000000,0.000000000000000,0.001091488222429,104.063324899999998,30.603474490000000,104.065669400000004,30.611485060000000,830,0.008346610807689
831,61,813,1053.902082453345429,3,113.486788185957550,170.000000000000000,1.000000000000000,2351.000000000000000,0.500000000000000,0.000474427376437,104.063324899999998,30.603474490000000,104.058861300000004,30.612160490000001,831,0.009765772934034
832,61,224,1100.964449774636023,4,137.092723213370590,170.000000000000000,1.000000000000000,600.000000000000000,0.650000000000000,0.000317903089488,104.063324899999998,30.603474490000000,104.054851299999996,30.610173840000002,832,0.010801999234745
833,61,184,1114.435318254431195,5,-167.713474982278370,170.000000000000000,1.000000000000000,462.000000000000000,0.000000000000000,0.000897315423892,104.063324899999998,30.603474490000000,104.051992299999995,30.601253390000000,833,0.011548208001286
834,61,870,1199.265920809772524,6,169.697382854059413,170.000000000000000,1.000000000000000,2517.000000000000000,0.558823529000000,0.000367872098544,104.063324899999998,30.603474490000000,104.051003600000001,30.605319760000000,834,0.012458710011730
835,61,581,1284.048896245212518,8,75.218771362014706,170.000000000000000,1.000000000000000,1560.000000000000000,0.000000000000000,0.000778786542260,104.063324899999998,30.603474490000000,104.066633199999998,30.614696580000000,835,0.011699579175933
836,61,79,1290.206531689638268,9,-87.260003096948807,170.000000000000000,1.000000000000000,218.000000000000000,0.700000000000000,0.000232520912452,104.063324899999998,30.603474490000000,104.064079699999994,30.591856090000000,836,0.011642892321134
837,61,782,1294.297895766943839,10,41.294398287963936,170.000000000000000,1.000000000000000,2193.000000000000000,0.650000000000000,0.000270416880955,104.063324899999998,30.603474490000000,104.073390700000004,30.611250600000002,837,0.012719599700240
838,61,933,1505.611772935213821,11,30.496191431835651,170.000000000000000,1.000000000000000,2687.000000000000000,0.533333333000000,0.000309951526276,104.063324899999998,30.603474490000000,104.076786100000007,30.610462309999999,838,0.015166856433589
839,61,322,1607.537349020431293,12,163.000437373988746,170.000000000000000,1.000000000000000,818.000000000000000,0.500000000000000,0.000311034764016,104.063324899999998,30.603474490000000,104.047254899999999,30.607596869999998,839,0.016590326011989
840,61,45,1663.334355877982262,13,19.847303701705854,170.000000000000000,1.000000000000000,136.000000000000000,0.000000000000000,0.000601202035217,104.063324899999998,30.603474490000000,104.079589299999995,30.608684180000001,840,0.017078395054554
841,61,1129,1845.968962155404142,15,-76.176592553981152,170.000000000000000,1.000000000000000,1630.000000000000000,0.166666667000000,0.000451434097801,104.063324899999998,30.603474490000000,104.068078299999996,30.587340959999999,841,0.016819203369228
842,61,67,1888.551110532534722,17,179.194538269239416,170.000000000000000,1.000000000000000,182.000000000000000,0.600000000000000,0.000211802581232,104.063324899999998,30.603474490000000,104.043633700000001,30.603570680000001,842,0.019691434953124
843,61,531,2252.545834588968319,25,-36.620411309438310,170.000000000000000,1.000000000000000,1386.000000000000000,0.000000000000000,0.000443942131896,104.063324899999998,30.603474490000000,104.082289200000005,30.591490279999999,843,0.022433590117368
844,61,357,2309.121888824506186,26,104.921875609857921,170.000000000000000,1.000000000000000,888.000000000000000,0.500000000000000,0.000216532527980,104.063324899999998,30.603474490000000,104.056930300000005,30.623553220000002,844,0.021072406319334
845,61,217,2417.741602500396311,28,-38.644468657903644,170.000000000000000,1.000000000000000,544.000000000000000,0.000000000000000,0.000413609129679,104.063324899999998,30.603474490000000,104.083141900000001,30.589997430000000,845,0.023965488469250
846,61,232,2534.791787377609580,32,-103.974959993484916,170.000000000000000,1.000000000000000,632.000000000000000,0.000000000000000,0.000394509720672,104.063324899999998,30.603474490000000,104.057157200000006,30.581243860000001,846,0.023070358342937
847,61,66,2852.494744672854722,36,-103.416490802896703,170.000000000000000,1.000000000000000,180.000000000000000,0.000000000000000,0.000350570321599,104.063324899999998,30.603474490000000,104.056666500000006,30.578400190000000,847,0.025943299942733
848,61,205,3113.380032609744831,40,-158.403272378510707,170.000000000000000,1.000000000000000,518.000000000000000,0.423076923000000,0.000185304418657,104.063324899999998,30.603474490000000,104.033245100000002,30.592918520000001,848,0.031878250840376
849,61,44,3146.139822477314283,43,-114.411725165063984,170.000000000000000,1.000000000000000,134.000000000000000,0.000000000000000,0.000317849827543,104.063324899999998,30.603474490000000,104.050019800000001,30.577538059999998,849,0.029150027289078
850,61,429,3170.910392659156969,45,177.721854379841943,170.000000000000000,1.000000000000000,1036.000000000000000,0.000000000000000,0.000315366843010,104.063324899999998,30.603474490000000,104.030278600000003,30.604369240000000,850,0.033058410832517
851,61,1040,3189.103484505488723,46,161.121414864495051,170.000000000000000,1.000000000000000,2939.000000000000000,0.250000000000000,0.000235175811523,104.063324899999998,30.603474490000000,104.031770199999997,30.612550540000001,851,0.032834033897958
852,61,710,3213.128943692968733,47,-35.922243458001844,170.000000000000000,1.000000000000000,1937.000000000000000,0.277777778000000,0.000224772249933,104.063324899999998,30.603474490000000,104.090613800000000,30.586665199999999,852,0.032050527313796
853,61,16,3441.205114362942822,52,-3.325116340973151,170.000000000000000,1.000000000000000,70.000000000000000,0.000000000000000,0.000290595871727,104.063324899999998,30.603474490000000,104.099160900000001,30.601927289999999,853,0.035869384320223
854,61,501,3563.826209444888264,56,-151.630567371945972,170.000000000000000,1.000000000000000,1258.000000000000000,0.127272727000000,0.000244884913492,104.063324899999998,30.603474490000000,104.030781700000006,30.587962680000000,854,0.036051021159895
855,61,64,3578.514322271372293,57,97.347147761121590,170.000000000000000,1.000000000000000,176.000000000000000,0.000000000000000,0.000279445577115,104.063324899999998,30.603474490000000,104.058243700000006,30.635449410000000,855,0.032376134780465
856,61,670,3662.166638327572855,59,97.492036269861330,170.000000000000000,1.000000000000000,1793.000000000000000,0.000000000000000,0.000273062396870,104.063324899999998,30.603474490000000,104.058029199999993,30.636185380000001,856,0.033136788680912
857,61,63,3694.712434025013408,60,-161.604653150162278,170.000000000000000,1.000000000000000,174.000000000000000,0.000000000000000,0.000270657058663,104.063324899999998,30.603474490000000,104.026876000000001,30.592690640000001,857,0.038010705642738
